Route,rte_class,Total_Riders_2015,Total_Riders_2019,SumOfInSrvHrs_2015,SumOfInSrvHrs_2019
2,CoreLoc,1405084,1303912,25910.7,32861.69
3,CoreLoc,1932151,1473422,48072.37,46040.26
4,CoreLoc,1547699,1216195,46803.47,46355.4
5,CoreLoc,4240507,2986415,76549.14,70385.78
6,CoreLoc,2225819,1749638,55553.85,56848.57
7,CoreLoc,486982,356154,18993.2,18934.29
9,CoreLoc,721003,561074,22471.36,24145.61
10,CoreLoc,1863657,1516335,46994.58,46468.67
11,CoreLoc,940470,1010886,25347.08,32831.37
12,CoreLoc,590486,430126,17454.7,17674.24
14,CoreLoc,1377277,1126448,38351.51,38331.58
17,CoreLoc,1517793,1198364,39428.99,33922.24
18,CoreLoc,2601381,2157035,53352.01,55205.49
21,CoreLoc,3183778,2388287,61304.97,55892.47
22,CoreLoc,1483582,1148983,43156.27,43651.68
23,Support,425816,343429,14207.24,14200.71
25,CoreLoc,255933,213200,11836.19,11182.24
27,Support,35766.157312253,20322,3549.59,2788.06
30,Support,154386,137656,10294.57,9694.96
32,Support,330312.428063241,372646,9450.21,10511.5
39,Support,41629,28122,753.94,761.9
46,Support,303371,245686,15614.1,15178.83
53,CommExp,196513,183799,4263.05,4196.06
54,CoreLoc,1091040,1184009,25831.3,40436
59,CoreLoc,164140,140678,4269.88,4241.11
61,CoreLoc,648398,566753,21839.79,22067.14
62,CoreLoc,620772,588577,18188.03,22689.04
63,CoreLoc,1136807,925769,32980.39,31144.25
64,CoreLoc,1247429,903186,31492.97,30070.27
65,Support,288151,224386,12743.61,11759.79
67,CoreLoc,332531,220023,19143.35,13032.03
68,CoreLoc,851412,682520,25601.07,26122.49
70,CoreLoc,238731,172716,9629.18,8184.55
71,CoreLoc,456762,367127,18352.62,18076.51
74,CoreLoc,1146769,950761,31623.63,31460.3
75,CoreLoc,184283,168151,7880.95,7880.95
80,Support,97949.6650197629,84026,3524.29,3524.29
83,Support,114887.719367589,95664,11372.35,8235.3
87,Support,245473.032608696,211344,14577.86,12940.95
94,CommExp,575959,469357,13900.04,12215.61
111,CommExp,16757,15257,553.3,559.36
113,CommExp,110931,85577,2344.47,1794.94
114,CommExp,136704,97770,2419.67,1924.33
115,CommExp,22426,9079,565.18,335.11
118,CommExp,20170,13873,787.27,571.55
129,Support,13153,11843,330.3,379.5
133,CommExp,59495,54566,1409.21,2140.71
134,CommExp,129243,123390,3537.63,3306.05
135,CommExp,60691,66540,1265,1961.3
141,CoreLoc,102068,85747,2707.1,2500.79
146,CommExp,105000,90847,2486.99,2999.06
156,CommExp,113970,114571,3622.99,3898.98
219,SuburbL,158060.616798419,146491,13292.62,13260.07
223,SuburbL,32959,33706,2846.25,2631.2
225,SuburbL,24864.2745059289,23008,2289.65,2289.65
227,SuburbL,25722.5543478261,19111,2375.67,2375.67
250,CommExp,456255,369489,10629.22,10634.29
252,CommExp,29127,19831,584.01,576.23
261,CommExp,89825,90269,2254.23,2277
262,CoreLoc,34273,20276,1535.71,1044.89
263,CommExp,74838,82776,1986.05,1966.35
264,CommExp,152944,129832,4505.93,3744.4
265,CommExp,55351,42241,2355.43,1768.47
270,CommExp,352585,303306,8149.49,6144.15
272,CommExp,13949,9564,642.8,641.61
275,CommExp,99552,96697,3159.16,2635.57
288,CommExp,132417,133289,4394.61,4377.37
294,CommExp,78476,64333,4156.79,3313.31
350,CommExp,38741,28176,1492.7,1403
351,CommExp,76476,71042,1880.38,1766.99
353,CommExp,8199,6187,389.05,192.28
355,CommExp,260839,237582,5260.85,5308.34
361,CommExp,54328,48375,1657.81,1650.18
364,CommExp,9994,10916,1239.7,1153.31
365,CommExp,161711,162961,4034.25,4094.39
